"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"2010","TEX","2312","6302","162","787","740","123","8.1%","15.6%",".143",".307",".276",".338",".419",".333","","98","4.5","-7.0","-4.1","21.8"
"2006","DET","2214","6198","203","822","785","60","6.9%","18.3%",".174",".310",".274",".329",".449",".334","","99","-1.6","-12.2","23.4","21.8"
"2001","MIN","1791","6185","164","771","717","146","8.0%","17.5%",".161",".310",".272",".337",".433",".332","","99","-0.2","-5.2","13.0","21.8"
"2015","KCR","2263","6116","139","724","689","104","6.3%","15.9%",".144",".301",".269",".322",".412",".318","","99","-0.3","-8.3","13.8","21.8"
"2010","ARI","2271","6183","180","713","691","86","9.5%","24.7%",".166",".312",".250",".325",".416",".325","","93","-8.3","-62.7","85.8","21.8"
"2012","ARI","2213","6150","165","734","710","93","8.8%","20.6%",".159",".307",".259",".328",".418",".323","","97","-5.6","-30.7","52.0","21.7"
"2004","NYY","2281","6364","242","897","863","84","10.5%","15.4%",".189",".285",".268",".353",".458",".350","","112","-7.1","94.1","-88.1","21.7"
"2007","CLE","2225","6367","178","811","784","72","9.3%","18.9%",".159",".310",".268",".343",".428",".336","","104","0.3","31.9","-29.6","21.7"
"2017","TBR","2345","6147","228","694","671","88","8.9%","25.0%",".178",".296",".245",".317",".422",".316","","99","11.2","1.1","6.5","21.7"
"2004","DET","2255","6285","201","827","800","86","8.2%","18.2%",".177",".308",".272",".337",".449",".339","","106","3.9","49.5","-41.5","21.7"
"2015","TEX","2358","6187","172","751","707","101","8.1%","19.9%",".156",".300",".257",".325",".413",".321","","98","21.6","4.8","-3.0","21.6"
"2007","LAA","2230","6198","123","822","776","139","8.2%","14.2%",".133",".315",".284",".345",".417",".333","","100","3.7","5.3","2.0","21.6"
"2017","SEA","2323","6166","200","750","714","89","7.9%","20.5%",".165",".300",".259",".325",".424",".321","","103","-12.6","7.1","-0.8","21.6"
"2015","ARI","2393","6276","154","720","680","132","7.8%","20.9%",".150",".316",".264",".324",".414",".319","","95","12.5","-23.3","32.6","21.6"
"2012","SDP","2384","6112","121","651","610","155","8.8%","20.3%",".133",".297",".247",".319",".380",".307","","97","13.8","-8.4","29.1","21.6"
"2013","LAA","2311","6260","164","733","696","82","8.4%","19.5%",".150",".307",".264",".329",".414",".325","","109","-9.7","54.8","-58.0","21.6"
"2012","PHI","2294","6172","158","684","659","116","7.4%","17.7%",".144",".290",".255",".317",".400",".311","","93","10.7","-40.8","58.9","21.5"
"2005","CHC","2276","6161","194","703","674","65","6.8%","14.9%",".170",".291",".270",".324",".440",".329","","95","-5.6","-47.3","59.4","21.3"
"2016","SEA","2371","6227","223","768","735","56","8.1%","20.7%",".171",".297",".259",".326",".430",".325","","108","-13.5","44.6","-51.2","21.3"
"2016","MIA","2460","6133","128","655","626","71","7.3%","19.8%",".131",".314",".263",".322",".394",".309","","95","2.4","-40.1","57.4","21.3"
"2008","NYY","2330","6257","180","789","758","118","8.6%","16.2%",".156",".302",".271",".342",".427",".338","","104","-6.7","24.3","-28.4","21.3"
"2006","CLE","2135","6303","196","870","839","55","8.8%","19.1%",".177",".324",".280",".349",".457",".347","","108","-2.9","62.8","-61.4","21.2"
"2001","FLA","2034","6184","166","742","713","89","7.6%","18.5%",".159",".303",".264",".326",".423",".323","","95","0.1","-38.4","52.7","21.2"
"2014","OAK","2358","6245","146","729","686","83","9.4%","17.7%",".137",".278",".244",".320",".381",".312","","102","11.0","27.2","-30.4","21.2"
"2019","PHI","2431","6261","215","774","742","78","9.0%","23.2%",".181",".293",".246",".319",".427",".314","","92","13.8","-56.1","71.3","21.2"
"2007","CHC","2379","6268","151","752","711","86","8.0%","16.8%",".150",".308",".271",".333",".422",".329","","90","-3.9","-87.0","96.6","21.1"
"2016","DET","2295","6127","211","750","719","58","8.0%","21.3%",".171",".312",".267",".331",".438",".330","","106","-16.9","27.0","-31.9","21.1"
"2003","PIT","2346","6315","163","753","711","86","8.4%","16.6%",".153",".302",".267",".338",".420",".331","","97","5.5","-23.5","29.3","21.0"
"2001","ATL","2141","6152","174","729","696","85","8.0%","16.9%",".152",".290",".260",".324",".412",".317","","89","-3.3","-88.9","99.8","20.9"
"2005","DET","2211","6136","168","723","678","66","6.3%","16.9%",".157",".304",".272",".321",".428",".324","","99","5.5","-5.1","5.9","20.9"
"2005","TEX","2193","6301","260","865","834","67","7.9%","17.6%",".201",".290",".267",".329",".468",".344","","106","6.2","49.1","-54.3","20.8"
"2014","MIL","2327","6065","150","650","617","102","7.0%","19.7%",".147",".293",".250",".311",".397",".313","","94","-12.1","-56.2","62.2","20.8"
"2016","BAL","2257","6089","253","744","710","19","7.7%","21.7%",".188",".291",".256",".317",".443",".326","","103","2.5","22.6","-29.8","20.7"
"2007","FLA","2423","6344","201","790","749","105","8.2%","21.0%",".181",".315",".267",".336",".448",".340","","101","3.8","9.4","-6.4","20.7"
"2006","LAD","2384","6394","153","820","787","128","9.4%","15.0%",".157",".307",".276",".348",".432",".337","","101","-4.8","3.4","-2.6","20.7"
"2012","CHW","2277","6111","211","748","726","109","7.5%","19.7%",".167",".289",".255",".318",".422",".322","","98","-7.0","-18.2","8.7","20.7"
"2015","NYY","2401","6268","212","764","737","63","8.8%","19.6%",".170",".283",".251",".323",".421",".323","","103","3.0","25.3","-35.3","20.7"
"2000","NYY","2061","6311","205","871","833","99","10.0%","16.0%",".173",".304",".277",".354",".450",".350","","105","-1.5","37.1","-39.5","20.6"
"2019","CLE","2321","6124","223","769","731","103","9.2%","21.8%",".183",".289",".250",".323",".432",".319","","95","4.3","-35.6","31.9","20.6"
"2001","CHC","2271","6219","194","777","748","67","9.3%","17.3%",".169",".290",".261",".336",".430",".329","","98","-2.6","-21.8","29.3","20.6"
"2005","TBD","2245","6120","157","750","717","151","6.7%","16.2%",".151",".306",".274",".329",".425",".327","","101","10.3","14.9","-16.4","20.6"
"2004","OAK","2217","6459","189","793","752","47","9.4%","16.4%",".163",".300",".270",".343",".433",".337","","102","-5.8","10.7","-20.0","20.6"
"2000","TOR","1871","6326","244","861","826","89","8.3%","16.2%",".194",".297",".275",".341",".469",".350","","101","2.9","9.4","-15.1","20.6"
"2002","ATL","2319","6224","164","708","669","76","9.0%","16.5%",".150",".290",".260",".331",".409",".322","","94","-7.9","-57.8","60.4","20.5"
"2012","DET","2248","6119","163","726","698","59","8.4%","18.0%",".154",".307",".268",".335",".422",".328","","105","-17.8","15.4","-27.2","20.5"
"2010","OAK","2255","6117","109","663","619","156","8.6%","17.3%",".122",".297",".256",".324",".378",".313","","95","17.8","-20.6","1.0","20.3"
"2014","TBR","2352","6205","117","612","586","63","8.5%","18.1%",".120",".287",".247",".317",".367",".305","","97","1.0","-19.9","9.5","20.3"
"2005","SDP","2380","6271","130","684","655","99","9.6%","15.6%",".134",".289",".257",".333",".391",".318","","98","-0.3","-19.8","17.6","20.3"
"2003","TEX","2311","6293","239","826","799","65","7.8%","16.7%",".188",".287",".266",".330",".454",".338","","99","7.8","-1.8","-9.5","20.2"
"2003","ANA","2286","6119","150","736","687","129","7.8%","13.7%",".144",".291",".268",".330",".413",".323","","96","-4.9","-33.0","27.1","20.2"
"2006","FLA","2354","6191","182","758","713","110","8.0%","20.2%",".171",".309",".264",".331",".435",".329","","96","12.6","-18.2","20.0","20.2"
"2012","BOS","2317","6166","165","734","695","97","6.9%","19.4%",".155",".301",".260",".315",".415",".316","","95","2.6","-37.1","20.0","20.1"
"2006","CIN","2335","6296","217","749","718","124","9.8%","18.9%",".175",".290",".257",".336",".432",".332","","94","16.4","-36.5","31.1","19.8"
"2011","KCR","2134","6267","129","730","705","153","7.1%","16.1%",".140",".311",".275",".329",".415",".325","","101","0.7","4.5","-25.3","19.8"
"2018","ARI","2409","6157","176","693","658","79","9.1%","23.7%",".162",".286",".235",".310",".397",".306","","88","7.1","-81.0","79.2","19.8"
"2006","SEA","2259","6213","172","756","703","106","6.5%","15.7%",".153",".300",".272",".325",".424",".322","","95","4.0","-37.6","26.5","19.7"
"2000","DET","1938","6343","177","823","785","83","8.9%","15.5%",".163",".303",".275",".343",".438",".341","","100","-0.1","-0.3","-15.3","19.7"
"2006","HOU","2393","6326","174","735","708","79","9.2%","17.0%",".154",".286",".255",".332",".409",".322","","90","5.7","-82.5","74.7","19.7"
"2017","ARI","2360","6224","220","812","776","103","9.3%","23.4%",".190",".306",".254",".329",".445",".329","","95","12.4","-27.9","21.1","19.7"
"2013","TEX","2321","6196","176","730","691","149","7.5%","17.2%",".150",".294",".262",".323",".412",".323","","97","2.0","-22.5","3.9","19.7"
"2015","TBR","2479","6071","167","644","612","87","7.2%","21.6%",".154",".300",".252",".314",".406",".313","","100","-13.4","-16.2","2.5","19.6"
"2011","LAD","2304","6094","117","644","613","126","8.2%","17.8%",".118",".299",".257",".322",".375",".307","","95","10.2","-24.6","24.3","19.6"
"2005","LAA","2234","6186","147","761","726","161","7.2%","13.7%",".139",".294",".270",".325",".409",".319","","96","3.3","-30.8","17.0","19.6"
"2009","CIN","2314","6187","158","673","637","96","8.6%","18.2%",".147",".282",".247",".318",".394",".313","","84","5.2","-118.5","119.4","19.5"
"2009","TOR","2202","6362","209","798","766","73","8.6%","16.2%",".174",".290",".266",".333",".440",".337","","101","12.2","21.5","-50.0","19.5"
"2006","WSN","2430","6283","164","746","695","123","9.5%","18.4%",".156",".301",".262",".338",".418",".327","","96","3.3","-27.3","18.8","19.5"
"2017","CIN","2321","6213","219","753","715","120","9.1%","21.4%",".179",".294",".253",".329",".433",".325","","95","-5.3","-47.4","38.7","19.5"
"2013","KCR","2236","6093","112","648","620","153","6.9%","17.2%",".119",".300",".260",".315",".379",".305","","89","18.2","-57.4","39.6","19.4"
"2013","ARI","2349","6334","130","685","647","62","8.2%","18.0%",".133",".301",".259",".323",".391",".314","","93","-18.5","-69.4","59.4","19.4"
"2012","OAK","2247","6183","195","713","676","122","8.9%","22.4%",".166",".281",".238",".310",".404",".311","","97","19.4","0.3","-24.4","19.4"
"2005","MIL","2226","6156","175","726","689","79","8.6%","18.9%",".163",".298",".259",".331",".423",".327","","95","-5.2","-44.4","37.3","19.4"
"2008","MIN","2287","6331","111","829","791","102","8.4%","15.5%",".129",".316",".279",".340",".408",".328","","99","12.3","4.7","-30.5","19.3"
"2009","FLA","2394","6312","159","772","727","75","9.0%","19.4%",".148",".316",".268",".340",".416",".332","","97","4.5","-16.7","12.0","19.3"
"2006","CHW","2286","6318","236","868","839","93","7.9%","16.7%",".184",".305",".280",".342",".464",".346","","103","-8.4","14.4","-34.1","19.3"
"2016","LAA","2419","6041","156","717","686","73","7.8%","16.4%",".145",".289",".260",".322",".405",".314","","99","-16.8","-27.4","6.4","19.2"
"2005","TOR","2281","6233","136","775","735","72","7.8%","15.3%",".142",".296",".265",".331",".407",".323","","94","12.3","-33.2","13.6","19.1"
"2002","FLA","2319","6263","146","699","653","177","9.5%","18.0%",".142",".301",".261",".337",".403",".323","","97","5.4","-14.7","1.7","19.1"
"2016","TBR","2281","6046","216","672","647","60","7.4%","24.5%",".182",".293",".243",".307",".426",".315","","98","-0.4","-13.0","-9.0","19.1"
"2015","CLE","2285","6109","141","669","640","86","8.7%","18.9%",".144",".299",".256",".325",".401",".315","","97","8.1","-15.6","-4.5","19.1"
"2008","BAL","2340","6211","172","782","750","81","8.6%","15.9%",".162",".296",".267",".333",".429",".333","","99","-5.1","-17.0","-7.7","19.0"
"2009","TEX","2158","6127","224","784","748","149","7.7%","20.5%",".185",".296",".260",".320",".445",".331","","92","9.1","-49.8","24.6","19.0"
"2011","PHI","2203","6279","153","713","693","96","8.6%","16.3%",".142",".283",".253",".323",".395",".315","","96","3.5","-29.5","17.9","19.0"
"2002","TOR","2236","6230","187","813","771","71","8.4%","18.3%",".169",".295",".261",".327",".430",".329","","97","11.5","-15.5","-7.8","18.9"
"2019","LAA","2425","6251","220","769","734","65","9.4%","20.4%",".175",".281",".247",".324",".422",".316","","97","-6.1","-31.0","4.6","18.9"
"2009","COL","2352","6241","190","804","760","106","10.6%","20.5%",".180",".305",".261",".343",".441",".341","","96","5.3","-29.7","22.8","18.9"
"2005","BAL","2323","6134","189","729","700","83","7.3%","14.7%",".165",".289",".269",".327",".434",".330","","101","-9.5","-0.6","-18.7","18.8"
"2016","PIT","2458","6261","153","729","696","110","9.0%","21.3%",".144",".311",".257",".332",".402",".318","","97","-6.7","-26.5","15.6","18.8"
"2017","LAA","2392","6073","186","710","678","136","8.6%","19.7%",".155",".277",".243",".315",".397",".307","","92","1.4","-61.3","42.6","18.8"
"2014","KCR","2273","6058","95","651","604","153","6.3%","16.3%",".113",".302",".263",".314",".376",".306","","92","4.8","-47.8","28.1","18.8"
"2013","SDP","2359","6122","146","618","578","118","7.6%","21.4%",".133",".294",".245",".308",".378",".302","","94","8.8","-35.4","24.4","18.6"
"2002","HOU","2342","6252","167","749","719","71","9.4%","17.9%",".156",".300",".262",".338",".417",".329","","94","-6.2","-50.9","33.4","18.6"
"2016","COL","2369","6236","204","845","805","66","7.9%","21.3%",".182",".326",".275",".336",".457",".339","","94","1.1","-45.0","32.2","18.5"
"2011","ATL","2322","6169","173","641","606","77","8.2%","20.4%",".144",".284",".243",".308",".387",".306","","91","-4.8","-70.5","57.9","18.5"
"2008","FLA","2361","6206","208","770","741","76","8.7%","22.1%",".179",".300",".254",".326",".433",".330","","96","5.7","-27.5","14.2","18.5"
"2003","TOR","2278","6364","190","894","853","37","8.6%","17.0%",".175",".313",".279",".349",".455",".347","","108","-5.7","56.6","-88.7","18.4"
"2004","TEX","2240","6256","227","860","825","69","8.0%","17.6%",".191",".291",".266",".329",".457",".336","","95","18.0","-25.9","1.3","18.4"
"2006","KCR","2272","6229","124","757","718","65","7.6%","16.7%",".140",".311",".271",".332",".411",".323","","92","3.0","-64.6","37.7","18.3"
"2005","FLA","2296","6214","128","717","678","96","8.2%","14.8%",".137",".304",".272",".339",".409",".326","","98","-7.1","-23.0","2.5","18.2"
"2001","LAD","2084","6169","206","758","714","89","8.4%","17.2%",".170",".279",".255",".323",".425",".322","","97","-0.7","-23.8","9.0","18.2"
"2017","BOS","2334","6338","168","785","735","106","9.0%","19.3%",".149",".300",".258",".329",".407",".316","","91","4.9","-64.0","30.2","18.2"
"2004","FLA","2223","6160","148","718","677","96","8.1%","15.7%",".143",".295",".264",".329",".406",".321","","94","0.5","-51.2","30.1","18.2"
"2011","SFG","2370","6091","121","570","534","85","7.4%","18.4%",".126",".281",".242",".303",".368",".295","","88","-6.5","-87.9","74.2","18.1"
"2005","HOU","2324","6139","161","693","654","115","7.8%","16.9%",".152",".288",".256",".322",".408",".318","","90","-0.1","-77.8","58.5","18.1"
"2005","NYM","2213","6146","175","722","683","153","7.9%","17.5%",".158",".290",".258",".322",".416",".320","","93","21.0","-32.8","13.2","18.1"
"2014","NYY","2288","6082","147","633","591","112","7.4%","18.6%",".135",".282",".245",".307",".380",".305","","94","3.2","-38.5","11.7","18.1"
"2014","STL","2324","6086","105","619","585","57","7.7%","18.6%",".116",".300",".253",".320",".369",".308","","95","-15.5","-49.0","29.9","18.1"
"2018","SEA","2373","6087","176","677","644","79","7.1%","20.1%",".154",".295",".254",".314",".408",".313","","100","-7.0","-8.3","-17.4","18.0"
"2007","STL","2440","6211","141","725","690","56","8.1%","14.6%",".132",".303",".274",".337",".405",".326","","94","-12.7","-61.3","40.6","18.0"
"2005","CHW","2208","6146","200","741","713","137","7.1%","16.3%",".163",".286",".262",".322",".425",".324","","95","-1.9","-42.1","13.8","18.0"
"2015","BOS","2268","6237","161","748","706","71","7.7%","18.4%",".149",".305",".265",".325",".415",".321","","99","1.4","-5.9","-28.9","17.9"
"2015","WSN","2245","6117","177","703","665","57","8.8%","22.0%",".151",".300",".251",".321",".403",".315","","96","-2.3","-29.7","9.4","17.9"
"2014","NYM","2294","6145","125","629","602","101","8.4%","20.6%",".126",".286",".239",".308",".364",".299","","92","-0.4","-56.0","32.6","17.8"
"2001","ANA","1824","6226","158","691","662","116","7.9%","16.1%",".144",".290",".261",".327",".405",".318","","93","0.3","-57.5","22.4","17.8"
"2015","BAL","2249","6007","217","713","686","44","7.0%","22.2%",".171",".291",".250",".307",".421",".315","","97","-4.9","-23.9","-5.9","17.7"
"2001","SDP","2259","6278","161","789","753","129","10.8%","20.3%",".147",".297",".252",".336",".399",".321","","97","6.4","-16.6","-7.1","17.7"
"2007","TBD","2229","6280","187","782","750","131","8.7%","21.1%",".165",".318",".268",".336",".433",".335","","103","8.4","29.5","-66.0","17.6"
"2002","NYM","2389","6150","160","690","650","87","7.9%","17.0%",".139",".289",".256",".322",".395",".314","","91","-6.1","-73.1","49.4","17.6"
"2003","TBD","2223","6212","137","715","678","142","6.8%","16.6%",".139",".301",".265",".320",".404",".314","","90","13.2","-65.7","30.0","17.6"
"2008","LAA","2229","6155","159","765","721","129","7.8%","16.0%",".145",".299",".268",".330",".413",".324","","96","-1.0","-30.9","-6.5","17.6"
"2013","WSN","2241","6047","161","656","621","88","7.7%","19.7%",".146",".292",".251",".313",".398",".311","","94","3.1","-34.7","16.3","17.6"
"2017","OAK","2350","6126","234","739","708","57","9.2%","24.3%",".190",".294",".246",".319",".436",".323","","103","-5.5","19.9","-53.6","17.5"
"2009","ARI","2301","6269","173","720","686","102","9.1%","20.7%",".165",".299",".253",".324",".418",".324","","89","13.1","-75.3","53.6","17.5"
"2005","NYY","2319","6406","229","886","847","84","9.9%","15.4%",".174",".297",".276",".355",".450",".350","","116","-3.4","118.5","-160.9","17.4"
"2015","SEA","2407","6131","198","656","624","69","7.8%","21.8%",".162",".292",".249",".311",".411",".313","","100","-23.1","-20.7","-15.8","17.4"
"2014","BOS","2283","6226","123","634","601","63","8.6%","21.5%",".124",".297",".244",".316",".369",".305","","89","-8.1","-82.9","44.8","17.3"
"2004","SEA","2280","6362","136","698","658","110","7.7%","16.6%",".127",".308",".270",".331",".396",".317","","93","-6.4","-65.3","26.1","17.3"
"2018","PIT","2293","6066","157","692","665","70","7.8%","20.3%",".154",".298",".254",".317",".407",".312","","95","-13.3","-51.7","29.1","17.3"
"2001","NYY","1867","6233","203","804","774","161","8.3%","16.6%",".168",".293",".267",".334",".435",".332","","103","9.3","35.7","-73.8","17.3"
"2017","MIL","2423","6135","224","732","695","128","8.9%","25.6%",".180",".308",".249",".322",".429",".321","","94","2.4","-48.6","20.7","17.3"
"2008","TOR","2244","6191","126","714","681","80","8.4%","15.2%",".135",".295",".264",".331",".399",".322","","94","-10.9","-60.7","19.1","17.3"
"2004","MIN","2318","6286","191","780","735","116","8.2%","15.6%",".166",".290",".266",".332",".431",".330","","97","5.5","-22.3","-15.6","17.2"
"2011","NYM","2383","6335","108","718","676","130","9.0%","17.1%",".127",".307",".264",".335",".391",".319","","102","11.1","25.0","-55.1","17.2"
"2007","OAK","2220","6365","171","741","711","52","10.4%","17.6%",".151",".290",".256",".338",".407",".328","","99","-7.0","-12.1","-32.1","17.2"
"2002","CHC","2294","6242","200","706","676","63","9.4%","20.3%",".167",".283",".246",".321",".413",".320","","93","-7.0","-59.2","27.5","17.1"
"2006","BAL","2295","6240","164","768","727","121","7.6%","14.1%",".146",".302",".277",".339",".424",".331","","96","-4.5","-36.4","-2.7","17.1"
"2015","DET","2340","6159","151","689","660","83","7.4%","20.4%",".150",".322",".270",".328",".420",".324","","103","-27.6","-8.6","-31.6","17.1"
"2015","LAA","2459","5990","176","661","621","52","7.3%","19.2%",".150",".280",".246",".307",".396",".305","","95","0.5","-37.0","2.3","17.1"
"2000","KCR","1875","6394","150","879","831","121","8.0%","13.1%",".138",".312",".288",".348",".425",".338","","89","8.9","-82.8","33.1","17.1"
"2014","COL","2387","6164","186","755","721","85","6.4%","20.8%",".169",".326",".276",".327",".445",".337","","97","-12.3","-33.1","2.2","17.0"
"2006","LAA","2264","6221","159","766","737","148","7.8%","14.7%",".150",".301",".274",".334",".425",".327","","95","11.3","-27.4","-12.1","17.0"
"2013","TOR","2314","6152","185","712","669","112","8.3%","18.3%",".158",".284",".252",".318",".411",".320","","99","3.8","-2.8","-39.1","17.0"
"2007","LAD","2417","6282","129","735","706","137","8.1%","13.8%",".131",".303",".275",".337",".406",".326","","94","18.3","-33.3","-1.5","16.8"
"2008","DET","2267","6331","200","821","780","63","9.0%","17.0%",".173",".301",".271",".340",".444",".343","","106","-6.7","42.3","-93.8","16.8"
"2009","SEA","2150","6113","160","640","613","89","6.9%","17.9%",".144",".293",".258",".314",".402",".313","","89","-4.5","-87.0","40.0","16.8"
"2003","CHC","2285","6187","172","724","691","73","8.0%","18.7%",".157",".297",".259",".323",".416",".321","","91","-9.4","-83.7","50.9","16.8"
"2018","COL","2368","6178","210","780","748","95","8.2%","22.6%",".179",".304",".256",".322",".435",".325","","88","3.2","-85.1","53.2","16.7"
"2008","LAD","2376","6194","137","700","659","126","8.8%","16.7%",".134",".301",".264",".333",".399",".321","","93","5.1","-51.1","20.4","16.7"
"2011","WSN","2341","6090","154","624","594","106","7.7%","21.7%",".140",".292",".242",".309",".383",".305","","89","3.7","-73.4","45.6","16.6"
"2005","WSN","2352","6142","117","639","615","45","8.0%","17.7%",".134",".293",".252",".322",".386",".309","","88","-16.4","-112.9","78.8","16.6"
"2014","MIA","2311","6185","122","645","614","58","8.1%","22.9%",".125",".316",".253",".317",".378",".307","","95","-5.6","-42.4","7.0","16.6"
"2002","CIN","2353","6254","169","709","678","116","9.3%","19.0%",".155",".293",".253",".330",".408",".322","","91","1.2","-73.9","36.4","16.6"
"2009","SFG","2304","6057","122","657","612","78","6.5%","19.1%",".132",".302",".257",".309",".389",".305","","83","10.0","-118.1","94.0","16.6"
"2010","WSN","2410","6100","149","655","634","110","8.2%","20.0%",".140",".294",".250",".318",".390",".313","","90","-11.3","-84.4","59.9","16.6"
"2006","OAK","2197","6281","175","771","735","61","10.3%","15.5%",".152",".285",".260",".340",".412",".328","","97","-16.5","-38.5","-8.1","16.5"
"2013","NYM","2378","6207","130","619","593","114","8.2%","22.3%",".129",".291",".237",".306",".366",".297","","90","23.0","-49.2","16.1","16.5"
"2015","CIN","2337","6196","167","640","613","134","8.0%","20.3%",".146",".290",".248",".312",".394",".307","","91","10.9","-52.1","16.1","16.5"
"2018","CIN","2402","6240","172","696","665","77","9.0%","22.1%",".148",".307",".254",".328",".401",".317","","94","-1.9","-44.8","8.6","16.5"
"2003","COL","2352","6283","198","853","814","63","9.9%","18.0%",".179",".302",".267",".344",".445",".342","","90","1.0","-78.3","39.6","16.5"
"2000","BOS","2051","6371","167","792","755","43","9.6%","16.0%",".156",".297",".267",".341",".423",".334","","92","-4.4","-76.1","21.3","16.4"
"2014","SEA","2333","5977","136","634","600","96","6.6%","20.6%",".132",".290",".244",".300",".376",".299","","94","3.2","-37.5","-1.5","16.4"
"2015","SDP","2396","6019","148","650","623","82","7.1%","22.0%",".142",".292",".243",".300",".385",".298","","90","5.0","-63.2","31.5","16.4"
"2004","TBD","2182","6098","145","714","685","132","7.7%","15.5%",".147",".286",".258",".320",".405",".315","","87","16.1","-82.6","41.6","16.3"
"2007","TOR","2308","6197","165","753","719","57","8.6%","16.8%",".160",".290",".259",".327",".419",".326","","95","-11.3","-47.2","-0.8","16.2"
"2019","SEA","2347","6199","239","758","730","115","9.5%","25.5%",".187",".287",".237",".316",".424",".314","","98","13.4","-1.6","-50.1","16.2"
"2016","TEX","2324","6089","215","765","746","99","7.2%","20.0%",".172",".298",".262",".322",".433",".324","","95","2.0","-37.0","-14.5","16.2"
"2014","MIN","2292","6233","128","715","675","99","8.7%","21.3%",".135",".309",".254",".324",".389",".316","","100","20.9","23.8","-72.6","16.2"
"2006","BOS","2346","6435","192","820","777","51","10.4%","16.4%",".166",".298",".269",".351",".435",".340","","100","-10.3","-13.3","-43.5","16.1"
"2018","MIN","2351","6154","166","738","704","47","8.7%","21.6%",".155",".298",".250",".318",".405",".313","","96","0.6","-30.5","-17.4","16.0"
"2010","FLA","2300","6194","152","719","686","92","8.3%","22.2%",".149",".309",".254",".321",".403",".318","","92","22.5","-36.1","2.7","15.9"
"2006","MIL","2206","6130","180","730","695","71","8.2%","20.1%",".162",".300",".258",".327",".420",".322","","89","-1.5","-87.8","47.7","15.9"
"2012","NYM","2420","6091","139","650","625","79","8.3%","20.5%",".137",".298",".249",".316",".386",".306","","94","-3.2","-48.8","16.1","15.9"
"2006","TEX","2227","6273","183","835","799","53","8.1%","16.9%",".168",".311",".278",".338",".446",".337","","97","-7.4","-31.5","-21.7","15.9"
"2007","SDP","2334","6326","171","741","704","55","8.8%","19.4%",".160",".291",".251",".322",".411",".320","","96","3.3","-30.2","-16.6","15.8"
"2000","CHC","2269","6397","183","764","722","93","9.9%","17.5%",".155",".288",".256",".335",".411",".327","","89","2.4","-95.0","47.8","15.7"
"2010","CHW","2212","6118","177","752","710","160","7.6%","15.1%",".152",".292",".268",".332",".420",".332","","100","-8.1","-7.7","-56.3","15.7"
"2001","TOR","1859","6284","195","767","728","156","7.5%","17.4%",".167",".293",".263",".325",".430",".324","","94","7.0","-38.9","-18.5","15.7"
"2006","SFG","2313","6136","163","746","711","58","8.1%","14.5%",".163",".282",".259",".324",".422",".320","","88","-15.8","-116.2","73.5","15.7"
"2003","BAL","2196","6241","152","743","695","89","6.9%","14.5%",".138",".293",".268",".323",".405",".318","","94","11.0","-35.3","-21.2","15.6"
"2016","ARI","2399","6260","190","752","709","137","7.4%","22.8%",".171",".315",".261",".320",".432",".321","","93","17.7","-39.9","-2.0","15.6"
"2000","ARI","2103","6241","179","792","756","97","8.6%","15.6%",".164",".290",".265",".333",".429",".332","","88","-0.1","-102.7","59.2","15.6"
"2017","ATL","2374","6216","165","732","706","77","7.6%","19.0%",".150",".305",".263",".326",".412",".316","","89","4.3","-82.5","35.0","15.6"
"2011","TOR","2265","6210","186","743","704","131","8.5%","19.1%",".164",".283",".249",".317",".413",".319","","97","12.1","-11.6","-46.8","15.6"
"2004","CIN","2361","6278","194","750","713","77","9.5%","21.3%",".168",".295",".250",".331",".418",".326","","92","-9.3","-77.5","25.6","15.6"
"2009","SDP","2348","6179","141","638","605","82","9.5%","19.1%",".138",".284",".242",".321",".381",".309","","93","-10.4","-67.1","28.9","15.5"
"2007","CIN","2383","6332","204","783","747","97","8.5%","17.6%",".170",".298",".267",".335",".436",".335","","94","-7.2","-58.3","8.4","15.5"
"2016","NYY","2308","6058","183","680","647","72","7.8%","19.6%",".153",".289",".252",".314",".405",".311","","92","10.6","-49.7","-7.3","15.5"
"2000","COL","2221","6453","161","968","905","131","9.3%","14.1%",".161",".322",".294",".362",".455",".353","","82","-1.0","-155.8","100.6","15.5"
"2008","CHW","2298","6231","235","811","785","67","8.7%","16.3%",".185",".281",".263",".332",".448",".339","","101","-27.4","-17.7","-43.6","15.5"
"2014","CHC","2358","6102","157","614","590","65","7.2%","24.2%",".146",".296",".239",".300",".385",".303","","91","4.0","-59.5","15.2","15.4"
"2015","MIA","2297","5988","120","613","575","112","6.3%","19.2%",".124",".307",".260",".310",".384",".302","","91","-1.2","-67.3","26.9","15.3"
"2007","SEA","2338","6209","153","794","754","81","6.3%","13.9%",".138",".313",".287",".337",".425",".333","","103","-9.6","10.7","-68.4","15.3"
"2000","SDP","2169","6291","157","752","714","131","9.6%","18.7%",".148",".294",".254",".330",".402",".321","","91","2.6","-77.5","30.9","15.3"
"2000","BAL","1901","6238","184","794","750","126","8.9%","14.4%",".163",".293",".272",".341",".435",".338","","98","-3.9","-19.0","-38.4","15.3"
"2007","TEX","2313","6214","179","816","768","88","8.1%","19.7%",".163",".305",".263",".328",".426",".329","","94","12.6","-33.4","-26.5","15.1"
